2.1.05.001.165;; 558,00 ;C;2.1.05.001.165|-558
2.1.06.001.169;; 196.216,30 ;C;2.1.06.001.169|-196216,3
2.1.06.001.171;; 56.902,73 ;C;2.1.06.001.171|-56902,73
2.1.06.001.173;; 15.697,30 ;C;2.1.06.001.173|-15697,3
2.2.01.001.178;; 540.165,62 ;C;2.2.01.001.178|-540165,62
2.2.01.001.179;; 16.890.513,66 ;C;2.2.01.001.179|-16890513,66
2.2.02.001.182;; 15.209.349,87 ;C;2.2.02.001.182|-15209349,87
2.2.02.001.183;; 8.015.042,79 ;C;2.2.02.001.183|-8015042,79
2.2.02.001.184;; 8.114.113,97 ;D;2.2.02.001.184|8114113,97
2.2.02.002.186;; 761.311,44 ;C;2.2.02.002.186|-761311,44
2.2.02.002.187;; 274.071,60 ;C;2.2.02.002.187|-274071,6
2.3.01.001.191;; 63.774.678,00 ;C;2.3.01.001.191|-63774678
2.3.02.001.197;; 90.451.855,10 ;D;2.3.02.001.197|90451855,1
2.3.02.001.198;; 19.467.945,58 ;D;2.3.02.001.198|19467945,58
2.3.02.001.199;; 16.590.022,62 ;D;2.3.02.001.199|16590022,62
4.2.01.003.301;; 260.597,10 ;D;4.2.01.003.301|260597,1
4.2.01.003.405;; 6.316,14 ;D;4.2.01.003.405|6316,14
4.3.01.001.356;; 130.143,20 ;D;4.3.01.001.356|130143,2
4.3.01.001.358;; 1.840.197,26 ;D;4.3.01.001.358|1840197,26
4.3.01.001.359;; 96.783,99 ;D;4.3.01.001.359|96783,99
4.3.01.001.382;; 30.970,65 ;D;4.3.01.001.382|30970,65
4.3.01.001.411;; 67.187,90 ;D;4.3.01.001.411|67187,9
4.3.01.001.412;; 118.871,56 ;D;4.3.01.001.412|118871,56
4.3.01.001.413;; 5.275,98 ;D;4.3.01.001.413|5275,98
